Time,Temperature(℃),Humidity(%RH),MAC address(49:42:08:00:59:B8)
9/03/2024 2:20,32.42,63.96,
9/03/2024 2:10,32.35,63.43,
9/03/2024 2:00,32.29,62.91,
9/03/2024 1:50,32.23,62.39,
9/03/2024 1:40,32.17,61.86,
9/03/2024 1:30,32.11,61.34,
9/03/2024 1:20,32.05,60.82,
9/03/2024 1:10,31.99,60.29,
9/03/2024 1:00,31.93,59.77,
9/03/2024 0:50,31.87,59.25,
9/03/2024 0:40,31.59,65.96,
9/03/2024 0:30,31.68,65.36,
9/03/2024 0:20,31.76,64.77,
9/03/2024 0:10,31.85,64.18,
9/03/2024 0:00,31.93,63.58,
8/03/2024 23:50,32.02,62.99,
8/03/2024 23:40,32.1,62.4,
8/03/2024 23:30,32.19,61.8,
8/03/2024 23:20,32.27,61.21,
8/03/2024 23:10,32.35,60.62,
8/03/2024 23:00,31.56,61.63,
8/03/2024 22:50,31.64,62.19,
8/03/2024 22:40,31.72,62.75,
8/03/2024 22:30,31.79,63.3,
8/03/2024 22:20,31.87,63.86,
8/03/2024 22:10,31.95,64.41,
8/03/2024 22:00,32.02,64.97,
8/03/2024 21:50,32.1,65.52,
8/03/2024 21:40,32.18,66.08,
8/03/2024 21:30,32.25,66.63,
8/03/2024 21:20,32.24,61.82,
8/03/2024 21:10,32.17,62.48,
8/03/2024 21:00,32.1,63.14,
8/03/2024 20:50,32.03,63.79,
8/03/2024 20:40,31.96,64.45,
8/03/2024 20:30,31.89,65.11,
8/03/2024 20:20,31.82,65.76,
8/03/2024 20:10,31.75,66.42,
8/03/2024 20:00,31.68,67.08,
8/03/2024 19:50,31.61,67.73,
8/03/2024 19:40,31.81,68.46,
8/03/2024 19:30,31.88,67.85,
8/03/2024 19:20,31.95,67.25,
8/03/2024 19:10,32.02,66.65,
8/03/2024 19:00,32.09,66.05,
8/03/2024 18:50,32.15,65.45,
8/03/2024 18:40,32.22,64.85,
8/03/2024 18:30,32.29,64.25,
8/03/2024 18:20,32.36,63.65,
8/03/2024 18:10,32.42,63.05,
8/03/2024 18:00,32.42,64.72,
8/03/2024 17:50,32.35,61.23,
8/03/2024 17:40,32.28,57.75,
8/03/2024 17:30,32.21,54.27,
8/03/2024 17:20,32.14,50.79,
8/03/2024 17:10,32.08,47.31,
8/03/2024 17:00,32.01,43.83,
8/03/2024 16:50,31.94,40.35,
8/03/2024 16:40,31.87,36.87,
8/03/2024 16:30,31.81,33.39,
8/03/2024 16:20,32.05,68.28,
8/03/2024 16:10,32.13,64.94,
8/03/2024 16:00,32.21,61.6,
8/03/2024 15:50,32.28,58.26,
8/03/2024 15:40,32.36,54.92,
8/03/2024 15:30,32.44,51.58,
8/03/2024 15:20,32.51,48.24,
8/03/2024 15:10,32.59,44.9,
8/03/2024 15:00,32.67,41.56,
8/03/2024 14:50,32.74,38.22,
8/03/2024 14:40,32.65,67.21,
8/03/2024 14:30,32.59,66.57,
8/03/2024 14:20,32.53,65.93,
8/03/2024 14:10,32.47,65.29,
8/03/2024 14:00,32.41,64.65,
8/03/2024 13:50,32.35,64.01,
8/03/2024 13:40,32.29,63.37,
8/03/2024 13:30,32.23,62.73,
8/03/2024 13:20,32.17,62.09,
8/03/2024 13:10,32.12,61.46,
8/03/2024 13:00,31.67,63.24,
8/03/2024 12:50,31.76,60.49,
8/03/2024 12:40,31.84,57.75,
8/03/2024 12:30,31.93,55.01,
8/03/2024 12:20,32.01,52.27,
8/03/2024 12:10,32.1,49.53,
8/03/2024 12:00,32.18,46.79,
8/03/2024 11:50,32.27,44.05,
8/03/2024 11:40,32.35,41.31,
8/03/2024 11:30,32.43,38.57,
8/03/2024 11:20,31.99,64.9,
8/03/2024 11:10,32.06,64.44,
8/03/2024 11:00,32.12,63.98,
8/03/2024 10:50,32.18,63.53,
8/03/2024 10:40,32.24,63.07,
8/03/2024 10:30,32.31,62.61,
8/03/2024 10:20,32.37,62.16,
8/03/2024 10:10,32.43,61.7,
8/03/2024 10:00,32.49,61.24,
8/03/2024 9:50,32.55,60.79,
8/03/2024 9:40,32.38,63.22,
8/03/2024 9:30,32.33,62.55,
8/03/2024 9:20,32.29,61.88,
8/03/2024 9:10,32.25,61.22,
8/03/2024 9:00,32.2,60.55,
8/03/2024 8:50,32.16,59.88,
8/03/2024 8:40,32.12,59.22,
8/03/2024 8:30,32.07,58.55,
8/03/2024 8:20,32.03,57.88,
8/03/2024 8:10,31.99,57.22,
8/03/2024 8:00,31.74,63.31,
8/03/2024 7:50,31.81,61.33,
8/03/2024 7:40,31.88,59.35,
8/03/2024 7:30,31.95,57.38,
8/03/2024 7:20,32.02,55.4,
8/03/2024 7:10,32.09,53.43,
8/03/2024 7:00,32.16,51.45,
8/03/2024 6:50,32.23,49.48,
8/03/2024 6:40,32.3,47.5,
8/03/2024 6:30,32.36,45.53,
8/03/2024 6:20,32.43,63.65,
8/03/2024 6:10,32.37,63.03,
8/03/2024 6:00,32.31,62.41,
8/03/2024 5:50,32.26,61.79,
8/03/2024 5:40,32.2,61.17,
8/03/2024 5:30,32.14,60.55,
8/03/2024 5:20,32.09,59.93,
8/03/2024 5:10,32.03,59.31,
8/03/2024 5:00,31.97,58.69,
8/03/2024 4:50,31.92,58.07,
8/03/2024 4:40,31.56,62.76,
8/03/2024 4:30,31.64,62.17,
8/03/2024 4:20,31.71,61.58,
8/03/2024 4:10,31.79,61,
8/03/2024 4:00,31.86,60.41,
8/03/2024 3:50,31.94,59.83,
8/03/2024 3:40,32.01,59.24,
8/03/2024 3:30,32.09,58.66,
8/03/2024 3:20,32.16,58.07,
8/03/2024 3:10,32.23,57.49,
8/03/2024 3:00,31.59,63.09,
8/03/2024 2:50,31.67,62.66,
8/03/2024 2:40,31.74,62.24,
8/03/2024 2:30,31.81,61.82,
8/03/2024 2:20,31.88,61.39,
8/03/2024 2:10,31.96,60.97,
8/03/2024 2:00,32.03,60.55,
8/03/2024 1:50,32.1,60.12,
8/03/2024 1:40,32.17,59.7,
8/03/2024 1:30,32.24,59.28,
8/03/2024 1:20,32.12,59.56,
8/03/2024 1:10,32.05,60.06,
8/03/2024 1:00,31.99,60.56,
8/03/2024 0:50,31.93,61.06,
8/03/2024 0:40,31.87,61.56,
8/03/2024 0:30,31.8,62.06,
8/03/2024 0:20,31.74,62.56,
8/03/2024 0:10,31.68,63.06,
8/03/2024 0:00,31.62,63.56,
7/03/2024 23:50,31.56,64.06,
7/03/2024 23:40,32.1,59.45,
7/03/2024 23:30,32.03,60.07,
7/03/2024 23:20,31.97,60.68,
7/03/2024 23:10,31.9,61.3,
7/03/2024 23:00,31.84,61.91,
7/03/2024 22:50,31.77,62.53,
7/03/2024 22:40,31.71,63.14,
7/03/2024 22:30,31.64,63.76,
7/03/2024 22:20,31.58,64.37,
7/03/2024 22:10,31.52,64.98,
7/03/2024 22:00,32.06,64.34,
7/03/2024 21:50,31.99,63.78,
7/03/2024 21:40,31.93,63.22,
7/03/2024 21:30,31.87,62.66,
7/03/2024 21:20,31.8,62.1,
